City Id,State,State Abbreviation,Municipality,Link
366,Mississippi,MS,Hattiesburg,https://www.hrc.org/resources/municipalities/hattiesburg-ms
367,Mississippi,MS,Jackson,https://www.hrc.org/resources/municipalities/jackson-ms
368,Mississippi,MS,Ocean Springs,https://www.hrc.org/resources/municipalities/ocean-springs-ms
369,Mississippi,MS,Oxford,https://www.hrc.org/resources/municipalities/oxford-ms
370,Mississippi,MS,Southaven,https://www.hrc.org/resources/municipalities/southaven-ms
371,Mississippi,MS,Starkville,https://www.hrc.org/resources/municipalities/starkville-ms
372,Missouri,MO,Cape Girardeau,https://www.hrc.org/resources/municipalities/cape-girardeau-mo
373,Missouri,MO,Columbia,https://www.hrc.org/resources/municipalities/columbia-mo
374,Missouri,MO,Independence,https://www.hrc.org/resources/municipalities/independence-mo
375,Missouri,MO,Jefferson City,https://www.hrc.org/resources/municipalities/jefferson-city-mo
376,Missouri,MO,Kansas City,https://www.hrc.org/resources/municipalities/kansas-city-mo
377,Missouri,MO,Springfield,https://www.hrc.org/resources/municipalities/springfield-mo
378,Missouri,MO,St. Charles,https://www.hrc.org/resources/municipalities/st.-charles-mo
379,Missouri,MO,St. Louis,https://www.hrc.org/resources/municipalities/st.-louis-mo
380,Pennsylvania,PA,Allentown,https://www.hrc.org/resources/municipalities/allentown-pa
381,Pennsylvania,PA,Carlisle,https://www.hrc.org/resources/municipalities/carlisle-pa
382,Pennsylvania,PA,Erie,https://www.hrc.org/resources/municipalities/erie-pa
383,Pennsylvania,PA,Harrisburg,https://www.hrc.org/resources/municipalities/harrisburg-pa
384,Pennsylvania,PA,New Hope,https://www.hrc.org/resources/municipalities/new-hope-pa
385,Pennsylvania,PA,Philadelphia,https://www.hrc.org/resources/municipalities/philadelphia-pa
386,Pennsylvania,PA,Pittsburgh,https://www.hrc.org/resources/municipalities/pittsburgh-pa
387,Pennsylvania,PA,Reading,https://www.hrc.org/resources/municipalities/reading-pa
388,Pennsylvania,PA,State College,https://www.hrc.org/resources/municipalities/state-college-pa
389,Pennsylvania,PA,Wilkes Barre,https://www.hrc.org/resources/municipalities/wilkes-barre-pa
390,Rhode Island,RI,Cranston,https://www.hrc.org/resources/municipalities/cranston-ri
391,Rhode Island,RI,East Providence,https://www.hrc.org/resources/municipalities/east-providence-ri
