Row Id,City Id,City,State,URL,Score Id,Category,Criterion,Level of government,Orientation/Identity,Score
7549,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,3,Non-Discrimination Laws,Employment,County,Sexual Orientation,0
7550,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,4,Non-Discrimination Laws,Employment,County,Gender Identity,0
7551,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,5,Non-Discrimination Laws,Employment,City,Sexual Orientation,0
7552,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,6,Non-Discrimination Laws,Employment,City,Gender Identity,0
7553,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,7,Non-Discrimination Laws,Housing,State,Sexual Orientation,0
7554,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,8,Non-Discrimination Laws,Housing,State,Gender Identity,0
7555,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,9,Non-Discrimination Laws,Housing,County,Sexual Orientation,0
7556,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,10,Non-Discrimination Laws,Housing,County,Gender Identity,0
7557,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,11,Non-Discrimination Laws,Housing,City,Sexual Orientation,0
7558,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,12,Non-Discrimination Laws,Housing,City,Gender Identity,0
7559,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,13,Non-Discrimination Laws,Public Accommodations,State,Sexual Orientation,0
7560,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,14,Non-Discrimination Laws,Public Accommodations,State,Gender Identity,0
7561,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,15,Non-Discrimination Laws,Public Accommodations,County,Sexual Orientation,0
7562,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,16,Non-Discrimination Laws,Public Accommodations,County,Gender Identity,0
7563,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,17,Non-Discrimination Laws,Public Accommodations,City,Sexual Orientation,0
7564,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,18,Non-Discrimination Laws,Public Accommodations,City,Gender Identity,0
7565,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,19,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,State,NA,0
7566,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,20,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,County,NA,0
7567,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,21,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,City,NA,0
7568,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,22,Non-Discrimination Laws,Protects Youth From Conversion Therapy,State,NA,0
7569,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,23,Non-Discrimination Laws,Protects Youth From Conversion Therapy,County,NA,0
7570,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,24,Non-Discrimination Laws,Protects Youth From Conversion Therapy,City,NA,0
7571,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,25,Municipality as Employer,Non-Discrimination in City Employment,City,Sexual Orientation,0
7572,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,26,Municipality as Employer,Non-Discrimination in City Employment,City,Gender Identity,0
7573,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,27,Municipality as Employer,Transgender-Inclusive Healthcare Benefits,City,NA,0
7574,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,28,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Sexual Orientation,0
7575,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,29,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Gender Identity,0
7576,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,30,Municipality as Employer,Inclusive Workplace,City,NA,0
7577,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,31,Municipality as Employer,City Employee Domestic Partner Benefits,City,NA,0
7578,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,32,Municipal Services,Human Rights Commission,County,NA,0
7579,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,33,Municipal Services,Human Rights Commission,City,NA,0
7580,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,34,Municipal Services,Enforcement Mechanism in Human Rights Commission,County,NA,0
7581,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,35,Municipal Services,Enforcement Mechanism in Human Rights Commission,City,NA,0
7582,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,36,Municipal Services,LGBTQ+ Liaison in City Executive's Office,City,NA,0
7583,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,37,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Sexual Orientation,0
7584,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,38,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Gender Identity,0
7585,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,39,Municipal Services,City provides services to/supports LGBTQ+ youth,City,NA,0
7586,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,40,Municipal Services,City provides services to/supports LGBTQ+ people experiencing homelessness,City,NA,0
7587,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,41,Municipal Services,City provides services to/supports LGBTQ+ older adults,City,NA,0
7588,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,42,Municipal Services,City provides services to/supports people living with HIV or AIDS,City,NA,0
7589,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,43,Municipal Services,City provides services to/supports the transgender community,City,NA,0
