Row Id,City Id,City,State,URL,Score Id,Category,Criterion,Level of government,Orientation/Identity,Score
7454,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,6,Non-Discrimination Laws,Employment,City,Gender Identity,4
7455,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,7,Non-Discrimination Laws,Housing,State,Sexual Orientation,0
7456,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,8,Non-Discrimination Laws,Housing,State,Gender Identity,0
7457,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,9,Non-Discrimination Laws,Housing,County,Sexual Orientation,0
7458,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,10,Non-Discrimination Laws,Housing,County,Gender Identity,0
7459,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,11,Non-Discrimination Laws,Housing,City,Sexual Orientation,4
7460,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,12,Non-Discrimination Laws,Housing,City,Gender Identity,4
7461,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,13,Non-Discrimination Laws,Public Accommodations,State,Sexual Orientation,0
7462,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,14,Non-Discrimination Laws,Public Accommodations,State,Gender Identity,0
7463,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,15,Non-Discrimination Laws,Public Accommodations,County,Sexual Orientation,0
7464,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,16,Non-Discrimination Laws,Public Accommodations,County,Gender Identity,0
7465,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,17,Non-Discrimination Laws,Public Accommodations,City,Sexual Orientation,4
7466,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,18,Non-Discrimination Laws,Public Accommodations,City,Gender Identity,2
7467,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,19,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,State,NA,0
7468,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,20,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,County,NA,0
7469,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,21,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,City,NA,0
7470,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,22,Non-Discrimination Laws,Protects Youth From Conversion Therapy,State,NA,0
7471,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,23,Non-Discrimination Laws,Protects Youth From Conversion Therapy,County,NA,0
7472,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,24,Non-Discrimination Laws,Protects Youth From Conversion Therapy,City,NA,0
7473,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,25,Municipality as Employer,Non-Discrimination in City Employment,City,Sexual Orientation,7
7474,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,26,Municipality as Employer,Non-Discrimination in City Employment,City,Gender Identity,7
7475,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,27,Municipality as Employer,Transgender-Inclusive Healthcare Benefits,City,NA,0
7476,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,28,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Sexual Orientation,0
7477,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,29,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Gender Identity,0
7478,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,30,Municipality as Employer,Inclusive Workplace,City,NA,0
7479,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,31,Municipality as Employer,City Employee Domestic Partner Benefits,City,NA,0
7480,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,32,Municipal Services,Human Rights Commission,County,NA,0
7481,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,33,Municipal Services,Human Rights Commission,City,NA,0
7482,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,34,Municipal Services,Enforcement Mechanism in Human Rights Commission,County,NA,0
7483,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,35,Municipal Services,Enforcement Mechanism in Human Rights Commission,City,NA,0
7484,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,36,Municipal Services,LGBTQ+ Liaison in City Executive's Office,City,NA,0
7485,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,37,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Sexual Orientation,0
7486,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,38,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Gender Identity,0
7487,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,39,Municipal Services,City provides services to/supports LGBTQ+ youth,City,NA,0
7488,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,40,Municipal Services,City provides services to/supports LGBTQ+ people experiencing homelessness,City,NA,0
7489,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,41,Municipal Services,City provides services to/supports LGBTQ+ older adults,City,NA,0
7490,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,42,Municipal Services,City provides services to/supports people living with HIV or AIDS,City,NA,0
7491,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,43,Municipal Services,City provides services to/supports the transgender community,City,NA,0
7492,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,44,Law Enforcement,LGBTQ+ Police Liaison or Task Force,City,NA,0
7493,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,45,Law Enforcement,Reported 2019 Hate Crimes Statistics to the FBI,City,NA,12
7494,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,46,Leadership on LGBTQ+ Equality,Leadership's Public Position on LGBTQ+ Equality,City,NA,2
7495,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,47,Leadership on LGBTQ+ Equality,Leadership's Pro-Equality Legislative or Policy Efforts,City,NA,0
7496,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,48,Leadership on LGBTQ+ Equality,Openly LGBTQ+ elected or appointed municipal leaders,City,NA,0
7497,153,Meridian,ID,https://www.hrc.org/resources/municipalities/meridian-id,49,Leadership on LGBTQ+ Equality,City test limits of restrictive state law,City,NA,0
7498,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,1,Non-Discrimination Laws,Employment,State,Sexual Orientation,0
7499,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,2,Non-Discrimination Laws,Employment,State,Gender Identity,0
7500,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,3,Non-Discrimination Laws,Employment,County,Sexual Orientation,0
7501,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,4,Non-Discrimination Laws,Employment,County,Gender Identity,0
7502,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,5,Non-Discrimination Laws,Employment,City,Sexual Orientation,5
7503,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,6,Non-Discrimination Laws,Employment,City,Gender Identity,5
7504,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,7,Non-Discrimination Laws,Housing,State,Sexual Orientation,0
7505,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,8,Non-Discrimination Laws,Housing,State,Gender Identity,0
7506,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,9,Non-Discrimination Laws,Housing,County,Sexual Orientation,0
7507,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,10,Non-Discrimination Laws,Housing,County,Gender Identity,0
7508,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,11,Non-Discrimination Laws,Housing,City,Sexual Orientation,5
7509,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,12,Non-Discrimination Laws,Housing,City,Gender Identity,5
7510,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,13,Non-Discrimination Laws,Public Accommodations,State,Sexual Orientation,0
7511,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,14,Non-Discrimination Laws,Public Accommodations,State,Gender Identity,0
7512,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,15,Non-Discrimination Laws,Public Accommodations,County,Sexual Orientation,0
7513,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,16,Non-Discrimination Laws,Public Accommodations,County,Gender Identity,0
7514,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,17,Non-Discrimination Laws,Public Accommodations,City,Sexual Orientation,5
7515,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,18,Non-Discrimination Laws,Public Accommodations,City,Gender Identity,2
7516,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,19,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,State,NA,0
7517,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,20,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,County,NA,0
7518,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,21,Non-Discrimination Laws,All-Gender Single Occupancy Facilities,City,NA,0
7519,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,22,Non-Discrimination Laws,Protects Youth From Conversion Therapy,State,NA,0
7520,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,23,Non-Discrimination Laws,Protects Youth From Conversion Therapy,County,NA,0
7521,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,24,Non-Discrimination Laws,Protects Youth From Conversion Therapy,City,NA,0
7522,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,25,Municipality as Employer,Non-Discrimination in City Employment,City,Sexual Orientation,7
