State,City,Score,Link,Employment -- State -- Sexual Orientation,Employment -- State -- Gender Identity,Employment -- County -- Sexual Orientation,Employment -- County -- Gender Identity,Employment -- City -- Sexual Orientation,Employment -- City -- Gender Identity,Housing -- State -- Sexual Orientation,Housing -- State -- Gender Identity,Housing -- County -- Sexual Orientation,Housing -- County -- Gender Identity,Housing -- City -- Sexual Orientation,Housing -- City -- Gender Identity,Public Accommodations -- State,Public Accommodations -- County,Public Accommodations -- City,All-Gender Single Occupancy Facilities -- State,All-Gender Single Occupancy Facilities -- County,All-Gender Single Occupancy Facilities -- City,Protects Youth From Conversion Therapy -- State,Protects Youth From Conversion Therapy -- County,Protects Youth From Conversion Therapy -- City,Non-Discrimination in City Employment -- City -- Sexual Orientation,Non-Discrimination in City Employment -- City -- Gender Identity,Transgender-Inclusive Healthcare Benefits -- City,City Contractor Non-Discrimination Ordinance -- City -- Sexual Orientation,City Contractor Non-Discrimination Ordinance -- City -- Gender Identity,Inclusive Workplace -- City,City Employee Domestic Partner Benefits -- City,Human Rights Commission -- County,Human Rights Commission -- City,Enforcement Mechanism in Human Rights Commission -- County,Enforcement Mechanism in Human Rights Commission -- City,LGBTQ Liaison in City Executive's Office -- City,Youth Bullying Prevention Policy for City Services -- City -- Sexual Orientation,Youth Bullying Prevention Policy for City Services -- City -- Gender Identity,City provides services to/supports LGBTQ youth -- City,City provides services to/supports LGBTQ homeless people -- City,City provides services to/supports LGBTQ elders -- City,City provides services to/supports people living with HIV/AIDS -- City,City provides services to/supports the transgender community -- City,LGBTQ Police Liaison or Task Force -- City,Reported 2016 Hates Crimes Statistics to the FBI -- City,Leadership's Public Position on LGBTQ Equality -- City,Leadership's Pro-Equality Legislative or Policy Efforts -- City,Openly LGBTQ elected or appointed municipal leaders -- City,City test limits of restrictive state law -- City,Non-Discrimination in City Employment -- County -- Sexual Orientation,Non-Discrimination in City Employment -- County -- Gender Identity,Transgender-Inclusive Healthcare Benefits -- County,City Contractor Non-Discrimination Ordinance -- County -- Sexual Orientation,City Contractor Non-Discrimination Ordinance -- County -- Gender Identity,Inclusive Workplace -- County,City Employee Domestic Partner Benefits -- County,LGBTQ Liaison in City Executive's Office -- County,Youth Bullying Prevention Policy for City Services -- County -- Sexual Orientation,Youth Bullying Prevention Policy for City Services -- County -- Gender Identity,City provides services to/supports LGBTQ youth -- County,City provides services to/supports LGBTQ homeless people -- County,City provides services to/supports LGBTQ elders -- County,City provides services to/supports people living with HIV/AIDS -- County,City provides services to/supports the transgender community -- County,LGBTQ Police Liaison or Task Force -- County,Reported 2016 Hates Crimes Statistics to the FBI -- County,Leadership's Public Position on LGBTQ Equality -- County,Leadership's Pro-Equality Legislative or Policy Efforts -- County,Openly LGBTQ elected or appointed municipal leaders -- County,City test limits of restrictive state law -- County
New Jersey,Hoboken,100,https://www.hrc.org/mei/search/new-jersey/hoboken,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,2,2,0,0,7,7,6,3,3,0,0,0,0,0,0,5,0,0,2,2,0,2,0,10,12,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
New Jersey,Jersey City,100,https://www.hrc.org/mei/search/new-jersey/jersey-city,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,1,2,0,0,7,7,6,3,3,0,0,0,5,0,2,5,0,0,0,0,0,0,0,10,12,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
New Jersey,Lambertville,91,https://www.hrc.org/mei/search/new-jersey/lambertville,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,1,2,0,0,7,7,6,3,3,0,0,0,5,0,0,5,0,0,0,0,0,2,0,10,0,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
New Jersey,Montclair,58,https://www.hrc.org/mei/search/new-jersey/montclair,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
New Jersey,New Brunswick,51,https://www.hrc.org/mei/search/new-jersey/new-brunswick,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
New Jersey,Newark,64,https://www.hrc.org/mei/search/new-jersey/newark1,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,5,3,0,0,,,,,,,,,,,,,,,,,,,,,
New Jersey,Ocean Grove,60,https://www.hrc.org/mei/search/new-jersey/ocean-grove,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,12,2,0,0,0,,,,,,,,,,,,,,,,,,,,,
New Jersey,Paterson,62,https://www.hrc.org/mei/search/new-jersey/paterson,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,0,2,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,0,0,,,,,,,,,,,,,,,,,,,,,
New Jersey,Princeton,84,https://www.hrc.org/mei/search/new-jersey/princeton,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,0,2,0,0,7,7,6,1,1,2,0,0,5,0,2,0,0,0,2,0,0,2,0,0,12,3,2,0,0,,,,,,,,,,,,,,,,,,,,,
New Jersey,Trenton,61,https://www.hrc.org/mei/search/new-jersey/trenton,5,5,0,0,0,0,5,5,0,0,0,0,55,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,5,0,2,0,0,0,0,0,0,2,0,0,12,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,Albuquerque,74,https://www.hrc.org/mei/search/new-mexico/albuquerque,4,4,0,0,0,0,4,4,0,0,0,0,55,0,0,0,0,0,2,0,0,7,7,0,1,0,2,1,0,5,0,2,0,0,0,0,0,0,2,0,0,12,5,0,2,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,Eldorado at Santa Fe,44,https://www.hrc.org/mei/search/new-mexico/eldorado-at-santa-fe,4,4,0,0,0,0,4,4,4,4,0,0,55,0,0,0,0,0,2,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Farmington,45,https://www.hrc.org/mei/search/new-mexico/farmington,4,4,0,0,0,0,4,4,0,0,0,0,55,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,5,0,4,1,0,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,Gallup,35,https://www.hrc.org/mei/search/new-mexico/gallup,4,4,0,0,0,0,4,4,0,0,0,0,55,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,Las Cruces,47,https://www.hrc.org/mei/search/new-mexico/las-cruces,4,4,0,0,0,0,4,4,0,0,5,5,55,0,0,0,0,0,2,0,0,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,Rio Rancho,42,https://www.hrc.org/mei/search/new-mexico/rio-rancho,4,4,0,0,0,0,4,4,0,0,0,0,55,0,0,0,0,0,2,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,Roswell,42,https://www.hrc.org/mei/search/new-mexico/roswell1,4,4,0,0,0,0,4,4,0,0,0,0,55,0,0,0,0,0,2,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,Santa Fe,65,https://www.hrc.org/mei/search/new-mexico/santa-fe,4,4,0,0,0,0,4,4,5,5,0,0,55,0,0,0,0,2,2,0,0,7,7,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
New York,Albany,100,https://www.hrc.org/mei/search/new-york/albany,5,5,0,0,5,5,5,5,0,0,5,5,55,0,55,0,0,0,2,0,2,7,7,6,3,3,0,1,0,5,0,2,5,0,0,2,2,0,2,2,10,12,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
New York,Brookhaven,59,https://www.hrc.org/mei/search/new-york/brookhaven,5,5,5,5,0,0,5,5,5,5,0,0,55,52,0,0,0,0,2,0,0,7,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
New York,Buffalo,87,https://www.hrc.org/mei/search/new-york/buffalo,5,5,0,0,5,5,5,5,0,0,5,5,55,0,55,0,0,0,2,2,0,7,7,6,3,3,0,0,0,5,0,2,0,0,0,0,2,0,0,0,0,12,5,3,0,0,,,,,,,,,,,,,,,,,,,,,
New York,Ithaca,85,https://www.hrc.org/mei/search/new-york/ithaca,5,5,5,5,5,5,5,5,5,5,5,5,55,55,55,0,0,0,2,0,0,7,7,6,3,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,0,0,,,,,,,,,,,,,,,,,,,,,
New York,New York,100,https://www.hrc.org/mei/search/new-york/new-york,5,5,0,0,5,5,5,5,0,0,5,5,55,0,55,0,0,2,2,0,2,7,7,6,3,3,0,1,0,5,0,2,5,0,0,2,2,2,2,2,10,12,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
New York,Northwest Harbor,54,https://www.hrc.org/mei/search/new-york/northwest-harbor,5,5,5,5,0,0,5,5,5,5,0,0,55,52,0,0,0,0,2,0,0,0,0,0,3,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
New York,Rochester,100,https://www.hrc.org/mei/search/new-york/rochester2,5,5,0,0,5,5,5,5,0,0,5,5,55,0,55,0,0,0,2,0,0,7,7,6,3,3,0,1,0,0,0,0,5,0,0,2,0,0,2,0,10,12,5,3,2,0,,,,,,,,,,,,,,,,,,,,,
